sp,lon,lat
"Hemithraupis flavicollis (Vieillot, 1818)",-42.8156,-22.42126
"Hemithraupis flavicollis (Vieillot, 1818)",-76.41532,-8.48954
"Hemithraupis flavicollis (Vieillot, 1818)",-73.34074,7.14674
"Hemithraupis flavicollis (Vieillot, 1818)",-42.98382,-22.50413
"Hemithraupis flavicollis (Vieillot, 1818)",-70.2384,1.22058
"Hemithraupis flavicollis (Vieillot, 1818)",-42.77256,-22.45283
"Hemithraupis flavicollis (Vieillot, 1818)",-75.06895,6.31077
"Hemithraupis flavicollis (Vieillot, 1818)",-42.99102,-22.47287
"Hemithraupis flavicollis (Vieillot, 1818)",-76.10774,8.00827
"Hemithraupis flavicollis (Vieillot, 1818)",-73.4479,6.97802
"Hemithraupis flavicollis (Vieillot, 1818)",-76.07563,8.00582
"Hemithraupis flavicollis (Vieillot, 1818)",-59.56637,-2.02415
"Hemithraupis flavicollis (Vieillot, 1818)",-61.08342,4.59
"Hemithraupis flavicollis (Vieillot, 1818)",-74.92396,5.32681
"Hemithraupis flavicollis (Vieillot, 1818)",-74.95438,5.11838
"Hemithraupis flavicollis (Vieillot, 1818)",-76.39798,-0.67386
"Hemithraupis flavicollis (Vieillot, 1818)",-55.77834,-10.90735
"Hemithraupis flavicollis (Vieillot, 1818)",-77.10581,-7.15014
"Hemithraupis flavicollis (Vieillot, 1818)",-67.90881,-14.16242
"Hemithraupis flavicollis (Vieillot, 1818)",-75.00657,5.40251
"Hemithraupis flavicollis (Vieillot, 1818)",-77.70948,8.17629
"Hemithraupis flavicollis (Vieillot, 1818)",-42.96822,-22.52814
"Hemithraupis flavicollis (Vieillot, 1818)",-42.20645,-22.44892
"Hemithraupis flavicollis (Vieillot, 1818)",-75.07182,6.30656
"Hemithraupis flavicollis (Vieillot, 1818)",-74.89906,5.51317
"Hemithraupis flavicollis (Vieillot, 1818)",-73.37297,7.12178
"Hemithraupis flavicollis (Vieillot, 1818)",-77.58716,8.03559
"Hemithraupis flavicollis (Vieillot, 1818)",-75.43026,-9.62992
"Hemithraupis flavicollis (Vieillot, 1818)",-75.216,6.8002
"Hemithraupis flavicollis (Vieillot, 1818)",-75.21853,6.79711
"Hemithraupis flavicollis (Vieillot, 1818)",-77.73441,8.21523
"Hemithraupis flavicollis (Vieillot, 1818)",-39.14722,-14.61732
"Hemithraupis flavicollis (Vieillot, 1818)",-74.93612,5.30525
"Hemithraupis flavicollis (Vieillot, 1818)",-43.003,-22.55982
"Hemithraupis flavicollis (Vieillot, 1818)",-74.89061,6.95024
"Hemithraupis flavicollis (Vieillot, 1818)",-72.7397,1.81723
"Hemithraupis flavicollis (Vieillot, 1818)",-76.0462,8.72528
"Hemithraupis flavicollis (Vieillot, 1818)",-78.65942,-4.2488
"Hemithraupis flavicollis (Vieillot, 1818)",-59.93976,-3.00328
"Hemithraupis flavicollis (Vieillot, 1818)",-74.92158,5.30673
"Hemithraupis flavicollis (Vieillot, 1818)",-74.92505,5.49479
"Hemithraupis flavicollis (Vieillot, 1818)",-77.75338,8.04002
"Hemithraupis flavicollis (Vieillot, 1818)",-51.99579,-6.64782
"Hemithraupis flavicollis (Vieillot, 1818)",-63.87226,-8.61046
"Hemithraupis flavicollis (Vieillot, 1818)",-55.4192,4.6361
"Hemithraupis flavicollis (Vieillot, 1818)",-42.95038,-22.57319
"Hemithraupis flavicollis (Vieillot, 1818)",-71.46893,-13.01589
"Hemithraupis flavicollis (Vieillot, 1818)",-74.92443,5.30917
"Hemithraupis flavicollis (Vieillot, 1818)",-59.38439,-13.38155
"Hemithraupis flavicollis (Vieillot, 1818)",-65.97759,-11.03098
"Hemithraupis flavicollis (Vieillot, 1818)",-76.34967,1.14284
"Hemithraupis flavicollis (Vieillot, 1818)",-75.58659,-10.19532
"Hemithraupis flavicollis (Vieillot, 1818)",-73.38735,6.86184
"Hemithraupis flavicollis (Vieillot, 1818)",-42.96825,-22.52024
"Hemithraupis flavicollis (Vieillot, 1818)",-74.81891,6.64266
"Hemithraupis flavicollis (Vieillot, 1818)",-77.90195,-1.00646
"Hemithraupis flavicollis (Vieillot, 1818)",-43.06601,-22.54253
"Hemithraupis flavicollis (Vieillot, 1818)",-74.09605,5.57243
"Hemithraupis flavicollis (Vieillot, 1818)",-60.11382,-2.58563
"Hemithraupis flavicollis (Vieillot, 1818)",-77.54665,-1.05757
"Hemithraupis flavicollis (Vieillot, 1818)",-74.83279,6.67247
"Hemithraupis flavicollis (Vieillot, 1818)",-74.82568,6.66687
"Hemithraupis flavicollis (Vieillot, 1818)",-63.93212,-8.31349
"Hemithraupis flavicollis (Vieillot, 1818)",-42.77032,-22.45352
"Hemithraupis flavicollis albigularis (P.L.Sclater, 1855)",-74.95482,5.97928
"Hemithraupis flavicollis (Vieillot, 1818)",-42.72976,-22.61173
"Hemithraupis flavicollis (Vieillot, 1818)",-77.56966,-1.07447
"Hemithraupis flavicollis (Vieillot, 1818)",-74.79662,6.6646
"Hemithraupis flavicollis (Vieillot, 1818)",-74.81913,6.66425
"Hemithraupis flavicollis (Vieillot, 1818)",-77.56398,-1.05785
"Hemithraupis flavicollis (Vieillot, 1818)",-74.4415,5.72581
"Hemithraupis flavicollis (Vieillot, 1818)",-42.0389,-22.4248
"Hemithraupis flavicollis (Vieillot, 1818)",-76.97628,-6.07539
"Hemithraupis flavicollis (Vieillot, 1818)",-76.30811,-6.45561
"Hemithraupis flavicollis (Vieillot, 1818)",-40.6738,-20.38337
"Hemithraupis flavicollis (Vieillot, 1818)",-70.35093,-12.63699
"Hemithraupis flavicollis (Vieillot, 1818)",-70.23406,-12.85882
"Hemithraupis flavicollis (Vieillot, 1818)",-68.33302,-14.18834
"Hemithraupis flavicollis (Vieillot, 1818)",-77.71202,7.99677
"Hemithraupis flavicollis (Vieillot, 1818)",-76.39344,7.19782
