sp,lon,lat
"Thalurania furcata (J.F.Gmelin, 1788)",-76.97728,-6.0754
"Thalurania furcata (J.F.Gmelin, 1788)",-55.41454,4.63644
"Thalurania furcata (J.F.Gmelin, 1788)",-55.40372,4.64123
"Thalurania furcata (J.F.Gmelin, 1788)",-55.4193,4.63645
"Thalurania furcata (J.F.Gmelin, 1788)",-55.41619,4.6344
"Thalurania furcata (J.F.Gmelin, 1788)",-55.48253,4.645
"Thalurania furcata (J.F.Gmelin, 1788)",-55.1821,4.94875
"Thalurania furcata (J.F.Gmelin, 1788)",-55.4151,4.63995
"Thalurania furcata (J.F.Gmelin, 1788)",-55.41782,4.63707
"Thalurania furcata (J.F.Gmelin, 1788)",-55.4729,4.63617
"Thalurania furcata (J.F.Gmelin, 1788)",-55.18055,4.94896
"Thalurania furcata (J.F.Gmelin, 1788)",-55.18404,4.95166
"Thalurania furcata (J.F.Gmelin, 1788)",-55.18403,4.95163
"Thalurania furcata (J.F.Gmelin, 1788)",-55.18229,4.94866
"Thalurania furcata (J.F.Gmelin, 1788)",-47.85889,-15.72944
"Thalurania furcata (J.F.Gmelin, 1788)",-72.56767,-13.01037
"Thalurania furcata (J.F.Gmelin, 1788)",-47.7991,-15.85659
"Thalurania furcata (J.F.Gmelin, 1788)",-76.14583,-0.63779
"Thalurania furcata (J.F.Gmelin, 1788)",-78.95836,-4.09084
"Thalurania furcata (J.F.Gmelin, 1788)",-77.80814,-0.90856
"Thalurania furcata (J.F.Gmelin, 1788)",-55.25402,-13.03355
"Thalurania furcata (J.F.Gmelin, 1788)",-55.93129,-9.5979
"Thalurania furcata (J.F.Gmelin, 1788)",-70.10036,-12.56918
"Thalurania furcata (J.F.Gmelin, 1788)",-76.3179,-6.4159
"Thalurania furcata (J.F.Gmelin, 1788)",-38.93027,-4.24298
"Thalurania furcata (J.F.Gmelin, 1788)",-54.91671,-20.25688
"Thalurania furcata (J.F.Gmelin, 1788)",-58.90546,4.24504
"Thalurania furcata (J.F.Gmelin, 1788)",-77.60282,-0.62295
"Thalurania furcata (J.F.Gmelin, 1788)",-47.83698,-15.73573
"Thalurania furcata (J.F.Gmelin, 1788)",-76.62122,-0.40679
"Thalurania furcata (J.F.Gmelin, 1788)",-48.34794,-10.2708
"Thalurania furcata (J.F.Gmelin, 1788)",-77.60137,-0.6747
"Thalurania furcata (J.F.Gmelin, 1788)",-48.13731,-10.27973
