sp,lon,lat
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.11408,-14.1993
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.06528,-15.18222
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.69193,5.11403
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-47.78223,-5.17165
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.67679,5.1744
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.00832,-2.09135
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.02478,5.34178
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-55.22941,5.46366
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-54.04731,2.61439
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.7602,-9.61236
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-47.65835,-5.19482
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-47.69196,-5.11739
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.91151,-2.01736
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.56443,-15.39196
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-38.99456,-14.27952
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-47.50663,-5.26868
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.31519,-15.1327
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.53428,-15.40565
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-48.18445,-1.18658
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-34.9571,-6.9916
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.97438,-3.08197
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-54.41302,4.37652
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.84297,3.8121
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.00073,-14.9915
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.86597,3.81292
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.87741,3.88506
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-34.83715,-7.45362
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-34.84805,-7.45279
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.16976,-16.3876
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.03256,-14.33633
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.05636,-14.21322
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.02515,-14.31796
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-48.30054,-1.19604
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.11435,-16.34231
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-48.29496,-1.21124
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.932,3.86607
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.22149,-14.34343
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-67.8773,3.88506
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-40.12916,-14.41252
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.33174,4.74947
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.08018,-14.32713
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-39.10902,-14.19114
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.68564,5.0917
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.31184,-8.81285
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.10389,-8.69742
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.35332,3.66384
"Picumnus exilis pernambucensis J.T.Zimmer, 1947",-35.76402,-9.60291
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.0056,-3.0797
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.8592,-8.69634
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-36.44948,-9.23932
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-35.88053,-9.21796
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.4202,-1.93228
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-52.31256,4.94899
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.04961,-1.9793
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-60.0516,-1.98445
"Picumnus exilis (M.H.K.Lichtenstein, 1823)",-59.75635,8.26925
