sp,lon,lat
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.16783,-23.44745
"Thalurania glaucopis (J.F.Gmelin, 1788)",-49.3337,-25.36633
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.55321,-23.11559
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.43839,-25.68486
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.61529,-22.43207
"Thalurania glaucopis (J.F.Gmelin, 1788)",-42.53331,-22.33326
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.56863,-25.60033
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.475,-25.7276
"Thalurania glaucopis (J.F.Gmelin, 1788)",-42.53502,-22.31923
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.61474,-23.93772
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.52119,-23.95277
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.05778,-23.46075
"Thalurania glaucopis (J.F.Gmelin, 1788)",-40.59983,-19.93577
"Thalurania glaucopis (J.F.Gmelin, 1788)",-40.60042,-19.93746
"Thalurania glaucopis (J.F.Gmelin, 1788)",-42.54974,-22.29047
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.5214,-23.95264
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.30235,-23.78118
"Thalurania glaucopis (J.F.Gmelin, 1788)",-40.77764,-20.32861
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.61451,-23.93763
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.61869,-23.89258
"Thalurania glaucopis (J.F.Gmelin, 1788)",-49.93916,-24.48514
"Thalurania glaucopis (J.F.Gmelin, 1788)",-40.99937,-20.46592
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.45485,-25.68258
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.71938,-23.2593
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.453,-25.627
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.01215,-22.26197
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.96463,-22.87735
"Thalurania glaucopis (J.F.Gmelin, 1788)",-47.06765,-23.44751
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.43597,-25.63545
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.03861,-22.86324
"Thalurania glaucopis (J.F.Gmelin, 1788)",-42.41219,-22.33599
"Thalurania glaucopis (J.F.Gmelin, 1788)",-51.1299,-30.06858
"Thalurania glaucopis (J.F.Gmelin, 1788)",-48.59714,-26.80405
"Thalurania glaucopis (J.F.Gmelin, 1788)",-49.53372,-25.45834
"Thalurania glaucopis (J.F.Gmelin, 1788)",-48.81366,-25.60113
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.49641,-23.72712
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.63615,-23.44999
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.96348,-22.21933
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.96312,-23.93741
"Thalurania glaucopis (J.F.Gmelin, 1788)",-50.58158,-29.4475
"Thalurania glaucopis (J.F.Gmelin, 1788)",-42.87085,-19.7464
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.96332,-23.93785
"Thalurania glaucopis (J.F.Gmelin, 1788)",-53.97556,-25.85753
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.04968,-22.55758
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.16716,-23.14267
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.96273,-22.21664
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.1674,-23.14411
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.6427,-23.24446
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.64543,-23.24846
"Thalurania glaucopis (J.F.Gmelin, 1788)",-43.04237,-22.54636
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.1848,-22.89845
"Thalurania glaucopis (J.F.Gmelin, 1788)",-44.84033,-23.3429
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.96081,-22.21578
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.96276,-22.2165
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.16931,-23.46954
"Thalurania glaucopis (J.F.Gmelin, 1788)",-45.66655,-22.7954
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.33772,-23.7622
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.56864,-25.60037
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.5786,-25.59716
"Thalurania glaucopis (J.F.Gmelin, 1788)",-54.44082,-25.69086
"Thalurania glaucopis (J.F.Gmelin, 1788)",-48.4109,-24.26734
"Thalurania glaucopis (J.F.Gmelin, 1788)",-48.41148,-24.26696
"Thalurania glaucopis (J.F.Gmelin, 1788)",-46.49669,-23.72706
