sp,lon,lat
"Thalurania watertonii (Bourcier, 1847)",-35.72222,-8.47237
"Thalurania watertonii (Bourcier, 1847)",-35.84463,-8.7185
"Thalurania watertonii (Bourcier, 1847)",-35.17709,-8.72726
"Thalurania watertonii (Bourcier, 1847)",-36.57389,-9.02889
"Thalurania watertonii (Bourcier, 1847)",-35.92178,-9.24102
"Thalurania watertonii (Bourcier, 1847)",-35.4697,-7.6259
"Thalurania watertonii (Bourcier, 1847)",-35.79826,-8.73172
"Thalurania watertonii (Bourcier, 1847)",-35.83976,-8.72358
"Thalurania watertonii (Bourcier, 1847)",-35.93804,-9.30459
"Thalurania watertonii (Bourcier, 1847)",-35.79101,-8.60614
"Thalurania watertonii (Bourcier, 1847)",-35.118,-8.758
"Thalurania watertonii (Bourcier, 1847)",-35.84094,-8.72108
"Thalurania watertonii (Bourcier, 1847)",-35.839,-9.23942
"Thalurania watertonii (Bourcier, 1847)",-36.00015,-9.17096
"Thalurania watertonii (Bourcier, 1847)",-35.79071,-8.7005
"Thalurania watertonii (Bourcier, 1847)",-35.9958,-9.1734
"Thalurania watertonii (Bourcier, 1847)",-35.7933,-8.7373
"Thalurania watertonii (Bourcier, 1847)",-35.1667,-8.7167
"Thalurania watertonii (Bourcier, 1847)",-34.88691,-8.05099
"Thalurania watertonii (Bourcier, 1847)",-35.79333,-8.72667
"Thalurania watertonii (Bourcier, 1847)",-35.834,-8.6778
"Thalurania watertonii (Bourcier, 1847)",-35.84224,-9.25258
"Thalurania watertonii (Bourcier, 1847)",-36.08984,-8.96964
"Thalurania watertonii (Bourcier, 1847)",-34.95841,-8.07487
"Thalurania watertonii (Bourcier, 1847)",-35.8789,-9.2107
"Thalurania watertonii (Bourcier, 1847)",-36.00058,-9.17162
"Thalurania watertonii (Bourcier, 1847)",-35.75944,-8.86583
"Thalurania watertonii (Bourcier, 1847)",-35.47389,-8.75306
"Thalurania watertonii (Bourcier, 1847)",-35.77083,-8.73444
"Thalurania watertonii (Bourcier, 1847)",-35.95156,-9.30527
"Thalurania watertonii (Bourcier, 1847)",-35.8442,-8.7167
"Thalurania watertonii (Bourcier, 1847)",-34.94826,-8.01014
"Thalurania watertonii (Bourcier, 1847)",-35.12447,-8.57503
"Thalurania watertonii (Bourcier, 1847)",-35.8405,-8.7175
"Thalurania watertonii (Bourcier, 1847)",-35.8771,-9.2114
"Thalurania watertonii (Bourcier, 1847)",-36.44964,-9.26106
"Thalurania watertonii (Bourcier, 1847)",-35.94129,-9.30579
"Thalurania watertonii (Bourcier, 1847)",-36.59374,-9.31289
"Thalurania watertonii (Bourcier, 1847)",-36.60885,-9.32109
"Thalurania watertonii (Bourcier, 1847)",-35.92217,-9.25808
"Thalurania watertonii (Bourcier, 1847)",-36.48,-9.33
"Thalurania watertonii (Bourcier, 1847)",-38.05615,-8.38455
"Thalurania watertonii (Bourcier, 1847)",-36.1,-8.966666667
"Thalurania watertonii (Bourcier, 1847)",-36,-9.766666667
"Thalurania watertonii (Bourcier, 1847)",-35.46333333,-7.62
"Thalurania watertonii (Bourcier, 1847)",-35.31666667,-7.5
"Thalurania watertonii (Bourcier, 1847)",-35.85,-8.85
"Thalurania watertonii (Bourcier, 1847)",-35.46333333,-7.62
